cafe_name,avg_rating,review,indv_rating,review_date,useful,funny,cool,latitude,longtitude
11th Street Cafe,4,Wouldn't let me order a coffee while holding my tiny dog.  I live on 11th st 2 blocks from this cafe in an apartment I've owned for 7 years.  That's a first for me In this neighborhood. Most will let you order inside and wait outside. They wouldn't take my order.,1,12/15/2018,1,2,0,40.7357789,-74.00725826
11th Street Cafe,4,"The selection of drinks and smoothies and food is wonderful. They've got something for everyone, including vegetarians and vegans. The staff was friendly too. Only downside was that the manager said they ""no longer offer the free cook deal"" offered here on Yelp. When I showed it to them they said ""yeah...we should probably take that down."" Not cool",1,4/15/2017,0,0,0,40.7357789,-74.00725826
11th Street Cafe,4,"I've been coming here for years and love it. The owners are great, the food is delicious and it's so unique. In the best part of town too! Definitely worth checking out.",1,10/19/2016,0,0,0,40.7357789,-74.00725826
11th Street Cafe,4,"The food is not good, the space is too small, and while I was there they messed up multiple guests order, including mine. Also does not appear clean. Never again.",1,9/15/2015,0,0,0,40.7357789,-74.00725826
11th Street Cafe,4,"First time here.  I'll be here again.  What you need to know: *Free wi-fi. *Good coffee. *Cheddar and Egg biscuit with Ham was delicious --- ask for it toasted. *Selection of wines and beer available. *A total of nine tables... each seats 2 people.  So yes, it's tiny. *Was here for two hours and there were always people in line; was almost always about five people deep.  For a tucked-away neighborhood spot, pretty impressive.  No fears though, service was pretty fast.  Only real downer is that there's no restroom.  Think it might be intentional; otherwise people like me would be here all day. :)",1,9/8/2011,1,0,0,40.7357789,-74.00725826
11th Street Cafe,4,"Great place for lunch.  Last time I went I got an absolutely delicious sandwich!  It was a prosciutto, aged asiago, argula and truffle oil sandwich on a baguette.  It was one of the cheaper options on the menu, which is why I went with it.  Service with a smile too!  It's a little small, with only about 6 tables so if you come to eat here, keep in mind that you might not be able to sit.",1,2/8/2012,2,0,1,40.7357789,-74.00725826
11th Street Cafe,4,"I was so happy to have discovered this place. It's everything you want in a cafe: cozy, quiet, friendly and good coffee.",1,12/29/2010,1,0,0,40.7357789,-74.00725826
Ancolie,4.5,"So disappointed I wasted 10$ on this soup and sandwich special: warm pea soup (only choice) and ham and cheese ( basically tiny white bread w one slice of ham and one slice of cheese . I should have taken a picture in relation to my hand. I would be embarrassed to make a sandwich like that for a guest. This place is not for eating . Coffee might be ok, was too annoyed to stay and experiment further.",1,4/2/2018,1,0,0,40.73324539,-73.99910375
Ancolie,4.5,"So I walked by this place a few times, and I have to say the idea of food in the jar peaked my interest, but millions of people have been putting food in jars and cans since I don't even know how long... At least over 120 years. Then one time I actually went in, perused the menu which was much much higher up in the air than my head, and it looked fine, but nothing special. So I swore that moment right then and there to ask what time it was, turn walk out the door, and never come back again. I might even start a new life, where I get my memory erased and then purposefully avoid, memento post-it-notes style, this restaurant and its location.  That's when Kate started talking about this place ""Ancolie""... ""What the hell was it"" I asked. ""Well, it's incredible place around the corner"" she said. ""They make food and put it in a jar."" ""Great!"" People had been making food in a jar, for, I don't know, years I guess- how would I know, but I trust Kate and so off we went. When I went into the place k8 started raving. They have a quinoa jar and there are layers of delicious..."" Her voice trailed off into the background, sort of fading, whisked away by... Had I... no, I thought, this place just seems so familiar, but something, I'm not sure.  Something not so specia- ""Hey!  Try this!"" ""What is it?"" I thought, it resembled some sort of thick green koolaid... ""Just try it!  It's Matcha Tea with Almond Milk!"" I took a sip- I BLAM remembered feeling like I wanted to know what time it was but didn't care, a flurry of phone calls, a scientist, darknet found, needles and a pair of old grey Adidas shoes good god the pain and BLAM BLAM BLANK BLANK blank blank blank-  ""T.J.?""  ""T.J.?""  ""Yes, sorry I must have, I got dizzy- wow well what is this?!""  ""It's matcha !  With almond milk !""   She exclaimed, often my wife spoke in a hybrid emoji English language she developed with her Japanese friend Tsubee.  ""Wow.  Delicious.""  Yes.  It was. It was the best thing I had ever tasted!  ""Isn't it the best thing you have ever tasted!!??""  I loved it.  It was my favorite thing.  ""Isn't it your favorite thing!""  Kate said.  ""It is,"" I said- ""it is.""  I will give this place a five star review.  ""You gotta give this place a five star review!""  ""I will"" I thought, and I I won't make it too weird.  ""And don't make it too weird!""  ""Yeah Kate, I'll do it right now.. just, can I have another matcha  with almond  ?""  ""Yes bumble bee-- now get those thumbs a movin'!""  And so I did.  Why wouldn't I. I had drank the matcha. We all had.  You will too.  And then you will give them a five star review, because it's the best thing you've ever had and you won't think about time in there or whether things are special or not, you will just drink that drink.  You can eat, relax, whatever you want.  But you will drink that drink.  You will drink the matcha green tea with almond milk.  You will drink the matcha.  -witch docta",1,3/15/2018,0,0,0,40.73324539,-73.99910375
Ancolie,4.5,"So fresh and delicious. You might not think salad will fill you up all the way, but it does. I guess were so used to those big nasty plastic bowls of rancid lettuce from OTHER establishments. Everything here is wonderful. I have not been disappointed yet. The staff and vibe is friendly and comforting. Oh no what did I do the word going to get out now about how awesome this place is..",1,12/27/2016,0,0,0,40.73324539,-73.99910375
Bean & Bean,4,I work in the building next door so I frequently go in for a Chai latte iced with Oat milk & I always say light ice because for $7 bucks I'm paying for the Latte not ice & I stress this all the time & I still get a cup full of ice. Think I'll go back to Starbucks at least they know how to follow instructions.,1,5/30/2017,0,0,0,40.70730642,-74.01220905
Bean & Bean,4,"This place is like a hidden treasure in financial district. The entrance and the outer look doesn't attract people but inside is amazing. I tried hot matcha latte, it was better than I had before in other coffee shops. It was thick and creamy, just like the way I love it. The place has plenty of space and very clean bathroom too. I spent hours early in the morning and it was worth it. They have unique tastes that I want to try next time I go there. The staff was very nice, but when they give you your coffee they don't put the lid which is both good and bad depends on the people. I didn't care much but was afraid to spill when I try to put the lid on since the cup was brimful.",1,3/20/2017,1,0,0,40.70730642,-74.01220905
Bean & Bean,4,A nice and friendly little coffee shop in New York City!!  I was a little hesitant to try a Chai Tea other than Starbucks but it turns out Bean & Bean's Chai Tea tasted so much better!!!,1,6/4/2015,1,0,0,40.70730642,-74.01220905
Bean & Bean,4,"Free wifi, moderate seating and outlets, baked goods, organic coffee roasted in-house, very friendly staff, slightly expensive for even organic coffee, but it probably contributes to friendly staff and them staying independent--decor similar to Starbucks, but much better in every way. I'm pretty sure their coffee is fair trade, but it seems they care more about their drinks being organic as that's clearly posted everywhere.  I had the honey latte since I'd never heard of that before. I asked about it and was told honey granules are mixed into a latte. It doesn't taste like honey so I'm guessing they offer it simply as a healthier sweetener to lattes. Came here around noon and there was plenty of seating for me to study and do work as a college student in finals season. Not sure what its like at other times during the day/weekends.  Glad I found this through a Yelp search and will be returning whenever I need a cafe at which to do work.",1,12/16/2013,1,0,0,40.70730642,-74.01220905
